latitude,longitude,state,county
37.75,-122.28,California,Alameda County
37.77,-122.06,California,Alameda County
37.73,-122.06,California,Alameda County
37.71,-122.06,California,Alameda County
37.71,-122.07,California,Alameda County
37.72,-122.07,California,Alameda County
37.72,-122.08,California,Alameda County
37.71,-122.08,California,Alameda County
37.71,-122.09,California,Alameda County
37.72,-122.1,California,Alameda County
37.71,-122.11,California,Alameda County
37.7,-122.1,California,Alameda County
37.69,-122.1,California,Alameda County
37.7,-122.09,California,Alameda County
37.71,-122.1,California,Alameda County
37.7,-122.08,California,Alameda County
37.7,-122.07,California,Alameda County
37.7,-122.06,California,Alameda County
37.69,-122.07,California,Alameda County
37.69,-122.08,California,Alameda County
37.68,-122.08,California,Alameda County
37.69,-122.09,California,Alameda County
37.74,-122.14,California,Alameda County
37.73,-122.14,California,Alameda County
37.73,-122.16,California,Alameda County
37.73,-122.15,California,Alameda County
37.72,-122.18,California,Alameda County
37.71,-122.18,California,Alameda County
37.71,-122.17,California,Alameda County
37.7,-122.18,California,Alameda County
37.71,-122.19,California,Alameda County
37.72,-122.17,California,Alameda County
37.72,-122.16,California,Alameda County
37.71,-122.16,California,Alameda County
37.72,-122.15,California,Alameda County
37.73,-122.13,California,Alameda County
37.72,-122.13,California,Alameda County
37.71,-122.12,California,Alameda County
37.72,-122.14,California,Alameda County
37.71,-122.13,California,Alameda County
37.71,-122.15,California,Alameda County
37.71,-122.14,California,Alameda County
37.7,-122.13,California,Alameda County
37.7,-122.15,California,Alameda County
37.7,-122.14,California,Alameda County
37.69,-122.13,California,Alameda County
37.7,-122.16,California,Alameda County
37.69,-122.14,California,Alameda County
37.69,-122.15,California,Alameda County
37.69,-122.16,California,Alameda County
37.7,-122.17,California,Alameda County
37.68,-122.16,California,Alameda County
37.69,-122.17,California,Alameda County
37.68,-122.18,California,Alameda County
37.68,-122.15,California,Alameda County
37.68,-122.14,California,Alameda County
37.69,-122.12,California,Alameda County
37.7,-122.12,California,Alameda County
37.7,-122.11,California,Alameda County
37.69,-122.11,California,Alameda County
37.69,-122.03,California,Alameda County
37.64,-121.97,California,Alameda County
37.63,-122.02,California,Alameda County
37.63,-122.04,California,Alameda County
37.63,-122.05,California,Alameda County
37.66,-122.04,California,Alameda County
37.65,-122.04,California,Alameda County
37.68,-122.05,California,Alameda County
37.68,-122.07,California,Alameda County
37.68,-122.06,California,Alameda County
37.67,-122.08,California,Alameda County
37.67,-122.09,California,Alameda County
37.68,-122.09,California,Alameda County
37.68,-122.1,California,Alameda County
37.68,-122.11,California,Alameda County
37.67,-122.1,California,Alameda County
37.68,-122.12,California,Alameda County
37.67,-122.11,California,Alameda County
37.68,-122.13,California,Alameda County
37.67,-122.14,California,Alameda County
37.67,-122.15,California,Alameda County
37.67,-122.13,California,Alameda County
37.67,-122.12,California,Alameda County
37.66,-122.09,California,Alameda County
37.67,-122.06,California,Alameda County
37.67,-122.07,California,Alameda County
37.67,-122.04,California,Alameda County
37.66,-122.07,California,Alameda County
37.66,-122.08,California,Alameda County
37.65,-122.07,California,Alameda County
37.65,-122.08,California,Alameda County
37.66,-122.1,California,Alameda County
37.65,-122.09,California,Alameda County
37.66,-122.11,California,Alameda County
37.65,-122.1,California,Alameda County
37.64,-122.1,California,Alameda County
37.65,-122.12,California,Alameda County
37.63,-122.1,California,Alameda County
37.61,-122.1,California,Alameda County
37.66,-122.13,California,Alameda County
37.65,-122.11,California,Alameda County
37.64,-122.11,California,Alameda County
37.64,-122.12,California,Alameda County
37.63,-122.09,California,Alameda County
37.64,-122.09,California,Alameda County
37.64,-122.08,California,Alameda County
37.63,-122.08,California,Alameda County
37.64,-122.07,California,Alameda County
37.63,-122.07,California,Alameda County
37.64,-122.06,California,Alameda County
37.65,-122.06,California,Alameda County
37.62,-122.03,California,Alameda County
37.62,-122.04,California,Alameda County
37.61,-122.03,California,Alameda County
37.61,-122.04,California,Alameda County
37.62,-122.08,California,Alameda County
37.63,-122.06,California,Alameda County
37.61,-122.05,California,Alameda County
37.61,-122.08,California,Alameda County
37.61,-121.99,California,Alameda County
37.6,-122.02,California,Alameda County
37.6,-122.04,California,Alameda County
37.6,-122.06,California,Alameda County
37.59,-122.08,California,Alameda County
37.59,-122.07,California,Alameda County
37.58,-122.08,California,Alameda County
37.58,-122.07,California,Alameda County
37.59,-122.04,California,Alameda County
37.59,-122.05,California,Alameda County
37.6,-122.03,California,Alameda County
37.59,-122.02,California,Alameda County
37.59,-122.03,California,Alameda County
37.59,-122.01,California,Alameda County
37.58,-122.02,California,Alameda County
37.58,-122.01,California,Alameda County
37.6,-122.09,California,Alameda County
37.6,-122.08,California,Alameda County
37.57,-121.97,California,Alameda County
37.58,-121.96,California,Alameda County
37.58,-121.98,California,Alameda County
37.58,-121.99,California,Alameda County
37.58,-122,California,Alameda County
37.57,-122.01,California,Alameda County
37.58,-122.04,California,Alameda County
37.57,-122.04,California,Alameda County
37.57,-122.07,California,Alameda County
37.58,-122.06,California,Alameda County
37.57,-122.05,California,Alameda County
37.49,-121.93,California,Alameda County
37.52,-122.07,California,Alameda County
37.56,-122.02,California,Alameda County
37.56,-122.03,California,Alameda County
37.56,-122.01,California,Alameda County
37.55,-122.01,California,Alameda County
37.55,-122.02,California,Alameda County
37.56,-121.99,California,Alameda County
37.55,-121.96,California,Alameda County
37.56,-121.97,California,Alameda County
37.54,-121.97,California,Alameda County
37.55,-121.97,California,Alameda County
37.54,-121.98,California,Alameda County
37.55,-121.99,California,Alameda County
37.56,-121.94,California,Alameda County
37.55,-121.95,California,Alameda County
37.54,-121.93,California,Alameda County
37.54,-121.94,California,Alameda County
37.53,-121.94,California,Alameda County
37.54,-121.95,California,Alameda County
37.54,-121.96,California,Alameda County
37.53,-121.96,California,Alameda County
37.53,-121.97,California,Alameda County
37.53,-121.98,California,Alameda County
37.54,-121.99,California,Alameda County
37.54,-122,California,Alameda County
37.55,-122,California,Alameda County
37.54,-122.01,California,Alameda County
37.53,-122.01,California,Alameda County
37.53,-121.99,California,Alameda County
37.52,-121.97,California,Alameda County
37.51,-121.97,California,Alameda County
37.52,-121.95,California,Alameda County
37.51,-121.96,California,Alameda County
37.52,-121.96,California,Alameda County
37.53,-121.93,California,Alameda County
37.53,-121.92,California,Alameda County
37.49,-121.89,California,Alameda County
37.49,-121.92,California,Alameda County
37.48,-121.92,California,Alameda County
37.47,-121.92,California,Alameda County
37.47,-121.91,California,Alameda County
37.55,-122.03,California,Alameda County
37.55,-122.04,California,Alameda County
37.54,-122.04,California,Alameda County
37.54,-122.05,California,Alameda County
37.55,-122.05,California,Alameda County
37.53,-122.04,California,Alameda County
37.5,-122.04,California,Alameda County
37.54,-122.06,California,Alameda County
37.54,-122.03,California,Alameda County
37.54,-122.02,California,Alameda County
37.53,-122.03,California,Alameda County
37.53,-122.02,California,Alameda County
37.51,-122,California,Alameda County
37.72,-121.92,California,Alameda County
37.71,-121.91,California,Alameda County
37.72,-121.93,California,Alameda County
37.71,-121.93,California,Alameda County
37.71,-121.94,California,Alameda County
37.71,-121.96,California,Alameda County
37.64,-121.92,California,Alameda County
37.66,-121.93,California,Alameda County
37.69,-121.92,California,Alameda County
37.66,-121.9,California,Alameda County
37.68,-121.92,California,Alameda County
37.7,-121.93,California,Alameda County
37.69,-121.91,California,Alameda County
37.68,-121.91,California,Alameda County
37.68,-121.89,California,Alameda County
37.68,-121.88,California,Alameda County
37.67,-121.88,California,Alameda County
37.67,-121.89,California,Alameda County
37.67,-121.9,California,Alameda County
37.66,-121.88,California,Alameda County
37.66,-121.87,California,Alameda County
37.66,-121.89,California,Alameda County
37.64,-121.88,California,Alameda County
37.57,-121.87,California,Alameda County
37.67,-121.87,California,Alameda County
37.68,-121.85,California,Alameda County
37.66,-121.85,California,Alameda County
37.66,-121.86,California,Alameda County
37.66,-121.84,California,Alameda County
37.72,-121.85,California,Alameda County
37.73,-121.82,California,Alameda County
37.7,-121.86,California,Alameda County
37.69,-121.89,California,Alameda County
37.65,-121.77,California,Alameda County
37.61,-121.62,California,Alameda County
37.77,-121.61,California,San Joaquin County
37.7,-121.72,California,Alameda County
37.71,-121.73,California,Alameda County
37.71,-121.75,California,Alameda County
37.74,-121.77,California,Alameda County
37.7,-121.8,California,Alameda County
37.69,-121.8,California,Alameda County
37.69,-121.82,California,Alameda County
37.69,-121.76,California,Alameda County
37.68,-121.77,California,Alameda County
37.69,-121.78,California,Alameda County
37.69,-121.79,California,Alameda County
37.7,-121.76,California,Alameda County
37.69,-121.75,California,Alameda County
37.68,-121.75,California,Alameda County
37.68,-121.76,California,Alameda County
37.68,-121.73,California,Alameda County
37.68,-121.78,California,Alameda County
37.67,-121.77,California,Alameda County
37.67,-121.76,California,Alameda County
37.67,-121.78,California,Alameda County
37.67,-121.79,California,Alameda County
37.66,-121.78,California,Alameda County
37.66,-121.79,California,Alameda County
38.69,-119.78,California,Alpine County
38.72,-119.93,California,Alpine County
38.52,-120,California,Alpine County
38.48,-120.56,California,Amador County
38.45,-120.59,California,Amador County
38.46,-120.55,California,Amador County
38.45,-120.55,California,Amador County
38.43,-120.55,California,Amador County
38.55,-120.25,California,Amador County
38.54,-120.79,California,Amador County
38.51,-120.8,California,Amador County
38.5,-120.65,California,Amador County
38.47,-120.76,California,Amador County
38.45,-120.88,California,Amador County
38.43,-120.79,California,Amador County
38.44,-120.69,California,Amador County
38.5,-120.93,California,Amador County
38.42,-120.97,California,Amador County
38.37,-120.87,California,Amador County
38.34,-120.98,California,Amador County
38.32,-120.88,California,Amador County
38.26,-120.93,California,Amador County
38.42,-120.72,California,Amador County
38.38,-120.77,California,Amador County
38.38,-120.72,California,Amador County
38.4,-120.66,California,Amador County
38.42,-120.65,California,Amador County
38.39,-120.62,California,Amador County
38.36,-120.69,California,Amador County
38.34,-120.71,California,Amador County
38.31,-120.8,California,Amador County
39.76,-121.83,California,Butte County
39.76,-121.82,California,Butte County
39.78,-121.86,California,CAL Fire Butte Unit
39.77,-121.85,California,Butte County
39.76,-121.84,California,Butte County
39.76,-121.86,California,Butte County
39.76,-121.89,California,CAL Fire Butte Unit
39.74,-121.88,California,Butte County
39.75,-121.87,California,Butte County
39.75,-121.86,California,Butte County
39.74,-121.87,California,Butte County
39.75,-121.85,California,Butte County
39.74,-121.85,California,Butte County
39.73,-121.85,California,Butte County
39.74,-121.86,California,Butte County
39.75,-121.84,California,CAL Fire Butte Unit
39.74,-121.84,California,Butte County
39.74,-121.83,California,Butte County
39.75,-121.8,California,Butte County
39.75,-121.82,California,Butte County
39.73,-121.79,California,CAL Fire Butte Unit
39.71,-121.78,California,Butte County
39.73,-121.82,California,Butte County
39.73,-121.84,California,Butte County
39.72,-121.84,California,CAL Fire Butte Unit
39.73,-121.83,California,Butte County
39.72,-121.85,California,Butte County
39.72,-121.83,California,Butte County
39.7,-121.81,California,CAL Fire Butte Unit
39.72,-121.82,California,Butte County
39.71,-121.81,California,CAL Fire Butte Unit
39.82,-121.87,California,CAL Fire Butte Unit
39.71,-121.89,California,CAL Fire Butte Unit
39.79,-121.97,California,CAL Fire Butte Unit
39.68,-121.84,California,CAL Fire Butte Unit
39.64,-121.8,California,Butte County
39.66,-121.77,California,CAL Fire Butte Unit
39.59,-121.74,California,Butte County
39.59,-121.9,California,CAL Fire Butte Unit
39.88,-121.75,California,Butte County
39.82,-121.68,California,Butte County
40.06,-121.54,California,CAL Fire Butte Unit
39.97,-121.51,California,Butte County
39.86,-121.59,California,CAL Fire Butte Unit
39.83,-121.58,California,CAL Fire Butte Unit
39.8,-121.6,California,Butte County
39.79,-121.62,California,CAL Fire Butte Unit
39.82,-121.59,California,CAL Fire Butte Unit
39.83,-121.6,California,Butte County
39.82,-121.63,California,Butte County
39.79,-121.6,California,CAL Fire Butte Unit
39.79,-121.59,California,Butte County
39.78,-121.59,California,Butte County
39.77,-121.6,California,Butte County
39.77,-121.61,California,CAL Fire Butte Unit
39.78,-121.63,California,CAL Fire Butte Unit
39.8,-121.57,California,CAL Fire Butte Unit
39.78,-121.57,California,Butte County
39.77,-121.59,California,Butte County
39.79,-121.58,California,Butte County
39.76,-121.57,California,Butte County
39.76,-121.58,California,Butte County
39.75,-121.59,California,Butte County
39.76,-121.6,California,Butte County
39.76,-121.61,California,Butte County
39.77,-121.62,California,Butte County
39.76,-121.65,California,Butte County
39.76,-121.63,California,Butte County
39.76,-121.62,California,Butte County
39.75,-121.62,California,Butte County
39.75,-121.63,California,CAL Fire Butte Unit
39.74,-121.64,California,Butte County
39.71,-121.71,California,CAL Fire Butte Unit
39.66,-121.66,California,CAL Fire Butte Unit
39.69,-121.56,California,Butte County
39.74,-121.57,California,Butte County
39.74,-121.59,California,CAL Fire Butte Unit
39.75,-121.6,California,Butte County
39.68,-121.6,California,Butte County
39.83,-121.5,California,CAL Fire Butte Unit
39.72,-121.41,California,Butte County
39.61,-121.39,California,Butte County
39.65,-121.24,California,Butte County
39.55,-121.19,California,Butte County
39.52,-121.36,California,Butte County
39.52,-121.56,California,CAL Fire Butte Unit
39.53,-121.56,California,Butte County
39.6,-121.54,California,Butte County
39.54,-121.46,California,Butte County
39.52,-121.49,California,Butte County
39.5,-121.44,California,CAL Fire Butte Unit
39.49,-121.47,California,CAL Fire Butte Unit
39.51,-121.47,California,Butte County
39.53,-121.53,California,CAL Fire Butte Unit
39.52,-121.53,California,CAL Fire Butte Unit
39.51,-121.54,California,CAL Fire Butte Unit
39.51,-121.52,California,CAL Fire Butte Unit
39.51,-121.55,California,CAL Fire Butte Unit
39.51,-121.56,California,CAL Fire Butte Unit
39.5,-121.57,California,CAL Fire Butte Unit
39.52,-121.58,California,CAL Fire Butte Unit
39.51,-121.58,California,CAL Fire Butte Unit
39.5,-121.58,California,CAL Fire Butte Unit
39.5,-121.62,California,Butte County
39.52,-121.61,California,CAL Fire Butte Unit
39.53,-121.65,California,Butte County
39.48,-121.57,California,Butte County
39.5,-121.55,California,CAL Fire Butte Unit
39.5,-121.54,California,CAL Fire Butte Unit
39.49,-121.53,California,CAL Fire Butte Unit
39.48,-121.54,California,CAL Fire Butte Unit
39.47,-121.54,California,Butte County
39.48,-121.55,California,CAL Fire Butte Unit
39.49,-121.49,California,Butte County
39.5,-121.52,California,CAL Fire Butte Unit
39.49,-121.52,California,Butte County
39.48,-121.52,California,CAL Fire Butte Unit
39.45,-121.55,California,CAL Fire Butte Unit
39.44,-121.53,California,Butte County
39.44,-121.55,California,CAL Fire Butte Unit
39.43,-121.52,California,Butte County
39.4,-121.46,California,Butte County
39.39,-121.39,California,Butte County
39.33,-121.54,California,CAL Fire Butte Unit
39.39,-121.59,California,Butte County
39.37,-121.67,California,Butte County
39.35,-121.65,California,Butte County
39.34,-121.67,California,Butte County
39.32,-121.65,California,Butte County
39.36,-121.69,California,CAL Fire Butte Unit
39.37,-121.7,California,CAL Fire Butte Unit
39.36,-121.7,California,CAL Fire Butte Unit
39.38,-121.74,California,Butte County
39.33,-121.8,California,Butte County
39.42,-121.71,California,CAL Fire Butte Unit
39.41,-121.71,California,CAL Fire Butte Unit
39.4,-121.75,California,CAL Fire Butte Unit
39.48,-121.79,California,CAL Fire Butte Unit
38.15,-120.46,California,Calaveras County
38.12,-120.55,California,Calaveras County
38.09,-120.56,California,Calaveras County
38.07,-120.55,California,Calaveras County
38.07,-120.54,California,Calaveras County
37.97,-120.67,California,Calaveras County
38.09,-120.46,California,Calaveras County
38.24,-120.79,California,Calaveras County
38.2,-120.9,California,Calaveras County
38.16,-120.88,California,Calaveras County
38.11,-120.91,California,Calaveras County
38.12,-120.76,California,Calaveras County
38.28,-120.65,California,Calaveras County
38.24,-120.72,California,Calaveras County
38.19,-120.67,California,Calaveras County
38.2,-120.57,California,Calaveras County
38.25,-120.43,California,Calaveras County
38.39,-120.56,California,Calaveras County
38.41,-120.54,California,Calaveras County
38.42,-120.42,California,Calaveras County
38.33,-120.41,California,Calaveras County
38.31,-120.55,California,Calaveras County
38.35,-120.57,California,Calaveras County
38.21,-120.36,California,Calaveras County
38.23,-120.34,California,Calaveras County
38.26,-120.33,California,Calaveras County
38.25,-120.34,California,Calaveras County
38.23,-120.37,California,Calaveras County
38.25,-120.37,California,Calaveras County
38.29,-120.27,California,Calaveras County
38.31,-120.27,California,Calaveras County
38.42,-120.19,California,Calaveras County
39.03,-121.91,California,Colusa County
38.99,-122,California,Colusa County
39,-122.13,California,CAL Fire Sonoma Lake Napa Unit
39.15,-121.99,California,Colusa County
39.22,-122.04,California,Colusa County
39.25,-122.08,California,Colusa County
39.1,-122.33,California,Colusa County
39.15,-122.2,California,Colusa County
39.13,-122.09,California,CAL Fire Sonoma Lake Napa Unit
39.34,-122.05,California,Colusa County
39.31,-122.17,California,Colusa County
39.3,-122.51,California,Colusa County
39.21,-122.01,California,Colusa County
39.3,-121.96,California,Colusa County
38.03,-121.65,California,Contra Costa County
38.03,-121.63,California,Contra Costa County
38.04,-121.63,California,Contra Costa County
38,-121.73,California,Contra Costa County
38,-121.72,California,Contra Costa County
37.98,-121.72,California,Contra Costa County
37.98,-121.68,California,Contra Costa County
37.98,-121.7,California,Contra Costa County
37.99,-121.71,California,Contra Costa County
37.99,-121.67,California,Contra Costa County
37.93,-121.68,California,Contra Costa County
37.94,-121.7,California,Contra Costa County
37.95,-121.69,California,Contra Costa County
37.96,-121.7,California,Contra Costa County
37.93,-121.66,California,Contra Costa County
37.91,-121.7,California,Contra Costa County
37.93,-121.7,California,Contra Costa County
37.95,-121.74,California,Contra Costa County
37.91,-121.6,California,Contra Costa County
37.9,-121.6,California,Contra Costa County
37.86,-121.61,California,Contra Costa County
37.85,-121.64,California,Contra Costa County
38.01,-121.8,California,Contra Costa County
38.01,-121.81,California,Contra Costa County
38.02,-121.82,California,Contra Costa County
38.01,-121.82,California,Contra Costa County
38.02,-121.84,California,Contra Costa County
38.01,-121.78,California,Contra Costa County
38.01,-121.79,California,Contra Costa County
38,-121.79,California,Contra Costa County
38,-121.78,California,Contra Costa County
38.01,-121.77,California,Contra Costa County
37.99,-121.81,California,Contra Costa County
37.98,-121.82,California,Contra Costa County
38,-121.82,California,Contra Costa County
38,-121.81,California,Contra Costa County
38,-121.85,California,Contra Costa County
38,-121.83,California,Contra Costa County
37.99,-121.83,California,Contra Costa County
37.99,-121.84,California,Contra Costa County
37.99,-121.79,California,Contra Costa County
38,-121.8,California,Contra Costa County
37.99,-121.8,California,Contra Costa County
37.99,-121.77,California,Contra Costa County
38.03,-121.88,California,Contra Costa County
38.04,-121.9,California,Contra Costa County
38.04,-121.86,California,Contra Costa County
38.02,-121.87,California,Contra Costa County
38.03,-121.9,California,Contra Costa County
38.02,-121.88,California,Contra Costa County
38.02,-121.89,California,Contra Costa County
38.02,-121.9,California,Contra Costa County
38,-121.88,California,Contra Costa County
38.01,-121.88,California,Contra Costa County
38.01,-121.89,California,Contra Costa County
38,-121.86,California,Contra Costa County
37.99,-121.89,California,Contra Costa County
37.99,-121.88,California,Contra Costa County
38,-121.87,California,Contra Costa County
37.99,-121.87,California,Contra Costa County
38.01,-121.9,California,Contra Costa County
38.02,-121.92,California,Contra Costa County
38,-121.9,California,Contra Costa County
38.01,-121.92,California,Contra Costa County
38.01,-121.93,California,Contra Costa County
38.02,-121.93,California,Contra Costa County
38.03,-121.95,California,Contra Costa County
38.03,-121.94,California,Contra Costa County
38.02,-121.96,California,Contra Costa County
38.02,-121.95,California,Contra Costa County
38.02,-121.94,California,Contra Costa County
38.03,-121.92,California,Contra Costa County
38.02,-121.91,California,Contra Costa County
38.04,-121.97,California,Contra Costa County
38.03,-121.97,California,Contra Costa County
38.05,-121.98,California,Contra Costa County
38.02,-122.02,California,Contra Costa County
38.03,-122,California,Contra Costa County
38.02,-122.14,California,Contra Costa County
38.03,-122.14,California,Contra Costa County
38.02,-122.13,California,Contra Costa County
38.01,-122.13,California,Contra Costa County
38.01,-122.14,California,Contra Costa County
38,-122.13,California,Contra Costa County
38.02,-122.16,California,Contra Costa County
38.01,-122.11,California,Contra Costa County
38,-122.12,California,Contra Costa County
38.01,-122.12,California,Contra Costa County
38.02,-122.09,California,Contra Costa County
38.02,-122.1,California,Contra Costa County
38,-122.07,California,Contra Costa County
38,-122.09,California,Contra Costa County
38,-122.11,California,Contra Costa County
37.99,-122.08,California,Contra Costa County
37.99,-122.09,California,Contra Costa County
37.99,-122.11,California,Contra Costa County
37.97,-122.08,California,Contra Costa County
37.97,-122.09,California,Contra Costa County
37.98,-122.11,California,Contra Costa County
37.98,-122.09,California,Contra Costa County
37.99,-122.12,California,Contra Costa County
37.97,-122.1,California,Contra Costa County
37.96,-122.1,California,Contra Costa County
37.99,-122.07,California,Contra Costa County
37.98,-122.07,California,Contra Costa County
37.97,-122.07,California,Contra Costa County
37.96,-122.07,California,Contra Costa County
37.96,-122.06,California,Contra Costa County
37.96,-122.08,California,Contra Costa County
37.95,-122.06,California,Contra Costa County
37.95,-122.07,California,Contra Costa County
37.95,-122.08,California,Contra Costa County
37.95,-122.05,California,Contra Costa County
37.94,-122.05,California,Contra Costa County
37.94,-122.06,California,Contra Costa County
37.94,-122.07,California,Contra Costa County
37.93,-122.08,California,Contra Costa County
37.94,-122.08,California,Contra Costa County
37.95,-122.09,California,Contra Costa County
37.94,-122.09,California,Contra Costa County
38,-122.04,California,Contra Costa County
37.99,-122.04,California,Contra Costa County
37.97,-122.05,California,Contra Costa County
37.99,-122.06,California,Contra Costa County
38,-122.05,California,Contra Costa County
37.98,-122.03,California,Contra Costa County
37.97,-122.04,California,Contra Costa County
38,-122.03,California,Contra Costa County
38.01,-122.03,California,Contra Costa County
38,-122.02,California,Contra Costa County
37.99,-122.03,California,Contra Costa County
37.99,-122.02,California,Contra Costa County
37.98,-122.01,California,Contra Costa County
37.98,-122,California,Contra Costa County
37.97,-122,California,Contra Costa County
37.97,-122.01,California,Contra Costa County
37.98,-122.02,California,Contra Costa County
